"CruiseKey"	"StationKey"	"HaulKey"	"SpeciesCategoryKey"	"SampleKey"	"IndividualKey"	"Individual"	"IndividualRoundWeight"	"IndividualTotalLength"	"LengthResolution"	"WeightMeasurement"	"IndividualAge"	"IndividualSex"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"1"	"BIAS_2018_SWE-6-3-126417-1-1"	19.82	14.5	0.5	"IndividualWeight"	2	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"2"	"BIAS_2018_SWE-6-3-126417-1-2"	12.12	12.5	0.5	"IndividualWeight"	0	"U"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"3"	"BIAS_2018_SWE-6-3-126417-1-3"	8.08	11	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"4"	"BIAS_2018_SWE-6-3-126417-1-4"	7.54	11	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"5"	"BIAS_2018_SWE-6-3-126417-1-5"	7.69	11	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"6"	"BIAS_2018_SWE-6-3-126417-1-6"	7.95	11	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"7"	"BIAS_2018_SWE-6-3-126417-1-7"	8.81	11.5	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"8"	"BIAS_2018_SWE-6-3-126417-1-8"	9.2	11.5	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"9"	"BIAS_2018_SWE-6-3-126417-1-9"	8.84	11.5	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"10"	"BIAS_2018_SWE-6-3-126417-1-10"	11.58	12	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"11"	"BIAS_2018_SWE-6-3-126417-1-11"	9.8	12	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"12"	"BIAS_2018_SWE-6-3-126417-1-12"	12.24	12.5	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"13"	"BIAS_2018_SWE-6-3-126417-1-13"	11.55	12.5	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"14"	"BIAS_2018_SWE-6-3-126417-1-14"	11.91	12.5	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"15"	"BIAS_2018_SWE-6-3-126417-1-15"	11.89	12.5	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"16"	"BIAS_2018_SWE-6-3-126417-1-16"	12.83	13	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"17"	"BIAS_2018_SWE-6-3-126417-1-17"	15.05	13	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"18"	"BIAS_2018_SWE-6-3-126417-1-18"	14.04	13	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"19"	"BIAS_2018_SWE-6-3-126417-1-19"	13.44	13	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"20"	"BIAS_2018_SWE-6-3-126417-1-20"	12.69	13	0.5	"IndividualWeight"	0	"F"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"21"	"BIAS_2018_SWE-6-3-126417-1-21"	13.97	13.5	0.5	"IndividualWeight"	0	"M"
"BIAS_2018_SWE"	"6"	"3"	"126417"	"1"	"22"	"BIAS_2018_SWE-6-3-126417-1-22"	15.41	13.5	0.5	"IndividualWeight"	0	"M"
